,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,component 1,component 2,component 3,K-means PCA,Segment
0,0,0,67,2,124670,1,2,2.5147459290711875,0.8341223865739423,2.174805904238935,3,well-off
1,1,1,22,1,150773,1,2,0.34493527739844265,0.5981456362864321,-2.2116027903108604,0,standard
2,0,0,49,1,89210,0,0,-0.6510626672489147,-0.6800931775067853,2.2804185984197236,2,fewer-opportunities
3,0,0,45,1,171565,1,1,1.7143162580925264,-0.5799265044202573,0.7307310859504081,1,career-focused
4,0,0,53,1,149031,1,1,1.6267445467357,-0.44049552509046636,1.244908884840261,1,career-focused
5,0,0,35,1,144848,0,0,-0.27473364766862085,-0.8710700778173778,1.3101518372044818,2,fewer-opportunities
6,0,0,53,1,156495,1,1,1.7295037103981463,-0.4160689587259484,1.2124541252752714,1,career-focused
7,0,0,35,1,193621,2,1,2.5103773413515245,-0.7512564130560851,-0.5049165465040139,1,career-focused
8,0,1,61,2,151591,0,0,0.4198913408327481,1.9361148117961793,2.2091174741190467,3,well-off
9,0,1,28,1,174646,2,0,1.0987288359811118,0.11113129467792988,-1.306561487479053,1,career-focused
10,1,1,25,1,108469,1,0,-1.2983141563589258,0.7110800056355073,-1.1435911988218113,0,standard
11,1,1,24,1,127596,1,0,-1.0628195079369893,0.7470277950690797,-1.2787832042557747,0,standard
12,1,1,22,1,108687,1,2,-0.23447551599621355,0.46041566951029306,-2.028605602334956,0,standard
13,0,0,60,2,89374,0,0,-0.0810834810748935,0.6805625802045225,3.311599643296577,2,fewer-opportunities
14,1,1,28,1,102899,1,1,-0.7193326961002369,0.6870739877557352,-1.327294834100953,0,standard
15,1,1,32,1,88428,0,0,-2.1501318966210055,0.8090634013638662,-0.07277866384891375,0,standard
16,0,0,53,1,125550,1,0,0.7313068886063124,-0.43162057311232316,1.7110048094014438,2,fewer-opportunities
17,0,0,25,0,157434,1,2,1.2737233676706454,-2.3118312451809877,-1.071936109244087,1,career-focused
18,1,1,44,2,261952,2,2,3.520185656531805,2.6381826646467617,-1.7103637464028165,3,well-off
19,0,0,31,0,144657,1,1,0.6926464937246022,-2.1080450159389765,-0.34023596338418466,1,career-focused
20,0,0,48,1,118777,1,1,1.0710655441640184,-0.672738894785252,1.116335945944421,1,career-focused
21,0,0,44,1,147511,1,1,1.3553249142706134,-0.6852921611531171,0.783297517383515,1,career-focused
22,0,0,48,1,89804,0,0,-0.6707174802626853,-0.7047961858269123,2.2258112739903084,2,fewer-opportunities
23,0,0,44,1,134918,1,2,1.7541208159746144,-0.8122223053919274,0.4740575677081082,1,career-focused
24,0,1,26,1,103667,1,2,0.43947393468601037,-0.36884348763679603,-1.210475303212586,1,career-focused
25,0,0,36,1,71909,0,0,-1.25107450656799,-1.0831221530504465,1.6793277013886085,2,fewer-opportunities
26,0,1,39,1,68264,0,0,-1.6011767347722832,0.010185002863828726,0.9672738895514369,2,fewer-opportunities
27,1,1,42,2,163025,1,1,0.7596594019412054,2.323901191865097,-0.4007653789825742,3,well-off
28,0,0,34,1,119307,1,1,0.6887059261357796,-1.0440613496531665,0.3856882750436816,1,career-focused
