,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
5,2016-01-02,29A,14.0,93.0,6.9423076923076925,2.0,1.0,6.642857142857143
14,2016-01-02,FEW,6.0,54.54,8.058,2.0,1.0,9.09
29,2016-01-02,N8U,40.0,172.46,4.092972972972973,2.0,1.0,4.3115000000000006
36,2016-01-02,R6E,10.0,88.6,8.860000000000001,2.0,1.0,8.86
49,2016-01-03,29A,14.0,84.87,6.4225,3.0,1.0,6.062142857142858
57,2016-01-03,FEW,8.0,77.61,9.70125,3.0,1.0,9.70125
71,2016-01-03,N8U,29.0,97.39999999999999,3.274710144927536,3.0,1.0,3.3586206896551722
79,2016-01-03,R6E,11.0,48.07,4.37,3.0,1.0,4.37
92,2016-01-04,29A,15.0,68.89,5.899666666666667,4.0,1.0,4.592666666666667
101,2016-01-04,FEW,10.0,108.31,10.831,4.0,1.0,10.831
114,2016-01-04,N8U,35.0,142.57,4.131029411764707,4.0,1.0,4.073428571428571
122,2016-01-04,R6E,16.0,100.94,6.30875,4.0,1.0,6.30875
136,2016-01-05,29A,3.0,13.690000000000001,4.5633333333333335,5.0,1.0,4.5633333333333335
141,2016-01-05,FEW,2.0,12.95,6.475,5.0,1.0,6.475
152,2016-01-05,N8U,21.0,90.48,4.4719999999999995,5.0,1.0,4.308571428571429
159,2016-01-05,R6E,17.0,111.67,8.11923076923077,5.0,1.0,6.568823529411765
172,2016-01-06,29A,7.0,42.72,6.102857142857142,6.0,1.0,6.102857142857142
180,2016-01-06,FEW,12.0,120.98,10.081666666666667,6.0,1.0,10.081666666666667
195,2016-01-06,N8U,17.0,70.18,4.0131250000000005,6.0,1.0,4.128235294117648
202,2016-01-06,R6E,18.0,96.55,5.6128125,6.0,1.0,5.363888888888889
217,2016-01-07,29A,15.0,64.09,4.572575757575757,7.0,1.0,4.272666666666667
226,2016-01-07,FEW,7.0,84.95,12.135714285714286,7.0,1.0,12.135714285714286
241,2016-01-07,N8U,34.0,162.19,4.7475000000000005,7.0,1.0,4.770294117647059
249,2016-01-07,R6E,5.0,35.67,7.134,7.0,1.0,7.134
262,2016-01-08,29A,8.0,38.68,4.835,8.0,1.0,4.835
271,2016-01-08,FEW,8.0,65.47,8.47642857142857,8.0,1.0,8.18375
285,2016-01-08,N8U,25.0,102.16,4.215434782608696,8.0,1.0,4.0864
293,2016-01-08,R6E,16.0,71.61,4.475625,8.0,1.0,4.475625
307,2016-01-09,29A,14.0,61.19,5.658888888888889,9.0,1.0,4.3707142857142856
316,2016-01-09,FEW,4.0,46.69,11.6725,9.0,1.0,11.6725
329,2016-01-09,N8U,19.0,75.73,3.8209375,9.0,1.0,3.9857894736842105
